company_name,product_name,free_riders,paid_riders
The Manufacturers Life Insurance Company,Family Term,"Terminal Illness Rider | Bereavement Counseling Benefit (up to $1,000)",Accidental Death Benefit | Waiver of Premium Rider | Guaranteed Insurability Option Rider | Child Term Rider
Assumption Mutual Life Insurance Company,FlexTerm,Extreme Disability Benefit | Insurability Benefit | Term Exchange Option | Transportation Benefit,Accidental Death Benefit | Accidental Fracture Plus Rider | Child Insurance Benefit | Critical Illness Rider | Disability Income Benefit | Waiver of Premium (Death or Disability)
Canada Protection Plan (Foresters Life),CPP Preferred,Terminal Illness Benefit | Transportation Benefit | Membership Benefits,Child Term Benefit | Hospital Cash Benefit | Critical Illness Rider
Canada Protection Plan (Foresters Life),CPP Preferred Elite,Terminal Illness Benefit | Transportation Benefit | Membership Benefits,Child Term Benefit | Hospital Cash Benefit | Critical Illness Rider
The Canada Life Assurance Company,Canada Life My Term,Terminal Illness Benefit,Accidental Death Benefit Rider | Waiver of Premium Rider | Child Life Insurance Rider | Business Growth Protection Rider
Desjardins Financial Security,Desjardins Term,Terminal Illness Benefit,Accidental Death and Dismemberment (AD&D) Rider | Business Insurability Coverage | Waiver of Premium Rider | Guaranteed Insurability Rider | Child Life Insurance Rider
The Empire Life Insurance Company,Solution,Terminal Illness Benefit,Critical Illness Rider | Accidental Death and Dismemberment (AD&D) Rider | Waiver of Premium Rider | Child Life Insurance Rider
Equitable,Term Series,Compassionate Advance | Bereavement Counselling Benefit,Disability Premium Waiver Rider: | Children's Term Insurance Rider: | Critical Illness Rider:
Foresters Life Insurance Company,Term,"Charity Benefit: Foresters donates an additional 1% of the death benefit (up to $100,000) to a registered charity chosen by the policyholder. | Family Health Benefit: Pays out benefits for certain family health expenses arising from natural disasters (e.g., earthquakes, hurricanes). | Accelerated Death Benefit: Allows the policyholder to receive a portion of the death benefit early if diagnosed with a terminal illness or certain critical/chronic illnesses.",Accidental Death Rider: | Waiver of Premium Rider: | Children's Term Rider:
Humania Assurance Inc.,HuGo ,with accelerated approval for many applicants (approval in as little as 15-45 minutes).,Accidental Death Rider: | Waiver of Premium Rider: | Childrens Insurance Rider: | Critical Illness Rider:
Industrial - Alliance Life Insurance,Pick-A-Term,"Guaranteed Premiums: Premiums are fixed for the entire term, ensuring predictable costs. | Renewability: Both policies are renewable until age 71, allowing continued protection even after the initial term. | Conversion Option: Both policies can be converted to permanent life insurance without a medical exam before age 71",Accidental Death Benefit | Waiver of Premium Rider: | Critical Illness Rider | Child Life Rider
ivari,TermSelect,"Guaranteed Premiums: Premiums remain level for the entire term (10, 20, or 30 years). After the term ends, the policy renews at higher premiums until age 80. | Conversion: You can convert term policies to a permanent life insurance plan without medical underwriting before age 71. | SelectOptions (Term 30): Offers unique features such as Select30, which allows reducing premiums by lowering coverage after 15-20 years, SelectLIFE (paid-up lifetime coverage), and SelectVALUE (accessing cash value by reducing coverage)",Critical Illness Protection Rider | Accidental Death and Dismemberment Rider | Childrens Insurance Rider | Waiver of Premium Rider
Beneva Inc.,Term Plus,"Guaranteed Premiums: Premiums remain level for the entire term. | Renewability: Renewable every five years after the initial term, up to age 85. | Conversion: Policies can be converted to permanent life insurance without a medical exam, up to age 70. | Extreme Disability Benefit: Provides up to 50% of the death benefit (maximum of $250,000) in the event of a qualifying disability",Critical Illness Rider | Accidental Death and Dismemberment (AD&D) Rider | Child Rider | Disability Income Benefit
RBC Life Insurance Company,YourTerm,"Guaranteed Renewability: Both plans are renewable until age 85 without needing additional medical exams. | Conversion: Policies can be converted to permanent life insurance, such as RBC Growth Insurance, without medical evidence, up to age 71. | Accidental Death Benefit: Included with Simplified Term, providing an additional $10,000 payout for accidental death. | Tax-Free Death Benefit: The death benefit is paid out tax-free to beneficiaries.",Accidental Death and Dismemberment Rider: | Waiver of Premium Rider | Child Term Rider | Total Disability Waiver of Premium Benefit Rider
Sun Life Assurance Company of Canada,Evolve Term,Guaranteed Renewability: Policies can be renewed until age 85 with increased premiums after each term. | Terminal Illness Benefit: Provides an early payout (up to 50% of the death benefit) if diagnosed with a terminal illness. | Conversion Option: All policies can be converted to permanent life insurance without medical underwriting until age 75.,Critical Illness Rider | Accidental Death and Dismemberment (AD&D) Rider | Waiver of Premium Rider | Childrens Term Rider
UV Insurance,Superior Plus,"Guaranteed Renewability: The policy is renewable every 10 years, up to age 85, without needing a medical exam. | Conversion: The policy can be converted to permanent life insurance until age 70, without medical underwriting. | Disability Benefit for Severe Loss of Autonomy: This benefit pays up to 50% of the initial insurance amount (up to $250,000) if the insured becomes unable to perform 4 of the 6 daily living activities before age 60. | Fixed Premiums: Premiums remain fixed for the entire term.",Critical Illness Rider | Accidental Death and Dismemberment Rider | Child Term Rider
